image_id,class_name,x1,y1,x2,y2
2008_000008.jpg,horse,53,87,471,420
2008_000008.jpg,person,158,44,289,167
2008_000015.jpg,bottle,270,1,378,176
2008_000015.jpg,bottle,57,1,164,150
2008_000019.jpg,dog,139,2,372,197
2008_000019.jpg,dog,165,66,318,236
2008_000019.jpg,dog,361,1,480,112
2008_000023.jpg,tvmonitor,6,1,314,262
2008_000023.jpg,bottle,40,97,121,411
2008_000023.jpg,person,137,36,169,109
2008_000023.jpg,person,180,36,216,104
2008_000023.jpg,person,96,39,123,103
2008_000028.jpg,car,158,199,231,240
2008_000028.jpg,car,47,202,94,238
2008_000033.jpg,aeroplane,104,61,476,257
2008_000036.jpg,bicycle,120,1,203,35
2008_000036.jpg,bicycle,117,38,273,121
2008_000036.jpg,person,206,74,395,237
2008_000036.jpg,boat,24,2,500,188
2008_000036.jpg,boat,1,187,500,282
2008_000037.jpg,aeroplane,47,157,450,282
2008_000041.jpg,person,271,170,386,234
2008_000041.jpg,person,295,189,328,231
2008_000041.jpg,person,206,176,256,236
2008_000041.jpg,person,122,162,198,330
2008_000041.jpg,person,457,212,500,297
2008_000041.jpg,person,438,173,500,243
2008_000041.jpg,chair,351,272,452,375
2008_000041.jpg,chair,265,250,353,364
2008_000041.jpg,chair,189,260,286,375
2008_000041.jpg,diningtable,149,224,402,331
2008_000041.jpg,pottedplant,54,189,84,214
2008_000041.jpg,person,358,188,469,359
2008_000045.jpg,train,45,42,455,342
2008_000053.jpg,dog,54,2,500,375
2008_000060.jpg,cat,1,32,343,336
2008_000066.jpg,dog,1,9,439,500
2008_000070.jpg,tvmonitor,180,260,213,293
2008_000070.jpg,chair,367,244,447,353
2008_000070.jpg,chair,255,247,371,375
2008_000074.jpg,car,46,178,387,335
2008_000085.jpg,car,1,1,395,375
2008_000089.jpg,chair,71,18,307,494
2008_000093.jpg,tvmonitor,392,3,479,95
2008_000093.jpg,chair,307,178,412,280
2008_000093.jpg,chair,328,194,473,328
2008_000093.jpg,sofa,143,163,320,247
2008_000093.jpg,sofa,1,173,145,317
2008_000095.jpg,bird,251,161,287,270
2008_000096.jpg,person,1,1,500,375
2008_000096.jpg,cat,96,124,416,375
2008_000097.jpg,bird,101,203,181,274
2008_000099.jpg,dog,122,11,336,223
2008_000099.jpg,sheep,98,176,425,357
2008_000103.jpg,bird,156,48,287,338
2008_000105.jpg,car,215,182,377,240
2008_000109.jpg,motorbike,293,70,420,197
2008_000109.jpg,car,41,95,444,375
2008_000109.jpg,person,228,90,338,365
2008_000112.jpg,cat,83,74,386,320
2008_000112.jpg,bottle,324,1,394,116
